region,date,cfr,contacts_followed,contacts_healthy,contacts_ill,contacts_not_seen,cum_completed_contacts,cum_confirmed,cum_contacts,cum_noncase,cum_probable,cum_suspected,death_confirmed,death_probable,death_suspected,etc_cum_admission,etc_cum_deaths,etc_cum_discharges,etc_currently_admitted,etc_new_admission,etc_new_deaths,etc_new_discharges,negative_corpse,new_completed_contacts,new_confirmed,new_contacts,new_negative,new_noncase,new_positive,new_probable,new_samples,new_suspected,pending,percent_seen,population,positive_corpse,repeat_samples,total_lab_samples
bo,2014-10-31,33.7,339,336,2,0,710,175,1079,200,1,68,59,43,8,141,35,61,,,,,0,0,0,0,,0,,0,,0,,99%,654142,0,,
bombali,2014-10-31,24.9,944,932,8,4,1681,571,2625,352,6,81,142,19,22,,,,,,,,10,0,15,0,,21,,0,,5,,98%,494139,4,,
bonthe,2014-10-31,50.0,20,20,0,0,105,2,125,2,0,3,1,1,1,,,,,,,,0,0,0,0,,0,,0,,0,,100%,168729,0,,
kailahun,2014-10-31,40.8,587,587,0,0,1835,554,2422,307,32,18,226,35,4,936,247,227,44,12,0,3,0,0,3,4,,0,,0,,0,,100%,465048,0,,
kambia,2014-10-31,28.2,375,369,6,0,385,39,565,22,0,4,11,9,6,,,,,,,,0,9,1,0,,0,,0,,0,,100%,341690,0,,
kenema,2014-10-31,51.7,325,321,4,0,2676,493,3144,825,0,92,255,0,4,,,,,,,,8,0,2,19,,10,,0,,4,,99%,653013,1,,
koinadugu,2014-10-31,46.7,106,102,2,2,0,15,106,42,32,9,7,32,0,,,,,,,,0,0,0,48,,0,,0,,0,,99%,335471,0,,
kono,2014-10-31,47.4,306,301,5,0,308,38,614,85,1,58,18,19,2,,,,,,,,0,0,0,0,,0,,0,,0,,98%,325003,0,,
moyamba,2014-10-31,34.4,229,229,0,0,798,96,1027,83,1,30,33,20,9,,,,,,,,0,0,0,0,,0,,0,,0,,100%,278119,0,,
port loko,2014-10-31,13.8,5290,5247,18,25,860,557,6150,262,1,57,77,1,74,,,,,,,,3,0,22,168,,16,,0,,9,,98%,557978,0,,
pujehun,2014-10-31,57.1,140,140,0,0,956,28,1103,12,0,10,16,2,3,,,,,,,,0,17,0,0,,0,,0,,0,,100%,335574,0,,
tonkolili,2014-10-31,23.3,1717,1717,0,0,1007,210,2724,95,4,40,49,21,4,,,,,,,,2,0,2,13,,3,,0,,2,,100%,434937,0,,
western area rural,2014-10-31,16.1,1345,974,6,371,1739,510,3084,421,0,46,82,2,12,,,,,,,,5,1,17,118,,9,,0,,5,,98%,263619,3,,
western area urban,2014-10-31,14.5,2365,2254,14,111,2018,648,4383,858,1,80,94,4,8,,,,,,,,13,9,33,111,,23,,0,,4,,98%,1040888,12,,
bo,2014-12-04,30,630,630,0,0,1101,267,1803,580,1,108,81,43,8,,,,,,,,0,0,1,0,,3,,0,,0,,100%,654142,0,,
bombali,2014-12-04,24,1833,1833,0,0,4855,866,6688,773,6,114,209,19,22,,,,,,,,1,55,0,211,,1,,0,,0,,100%,494139,0,,
bonthe,2014-12-04,75,108,180,0,0,165,4,273,50,0,9,3,1,1,,,,,,,,0,40,0,180,,0,,0,,0,,100%,168729,0,,
kailahun,2014-12-04,41,486,486,0,0,2887,562,3373,335,32,18,228,35,4,,,,,,,,0,7,0,14,,1,,0,,0,,100%,465048,0,,
kambia,2014-12-04,32,111,110,1,0,698,82,809,87,0,24,26,9,6,,,,,,,,4,0,1,0,,5,,0,,0,,100%,341690,0,,
kenema,2014-12-04,53,42,42,0,0,3041,494,3318,1128,0,116,261,0,5,,,,,,,,11,3,0,0,,11,,0,,0,,100%,653013,0,,
koinadugu,2014-12-04,31,247,247,0,0,8,86,255,94,32,24,27,32,0,,,,,,,,0,0,0,0,,0,,0,,0,,100%,335471,0,,
kono,2014-12-04,39,546,528,18,0,589,99,1141,136,1,111,39,19,2,,,,,,,,0,0,0,0,,0,,0,,0,,97%,325003,0,,
moyamba,2014-12-04,25,119,119,0,0,1559,166,1678,267,1,61,42,20,9,,,,,,,,5,10,1,17,,8,,0,,0,,100%,278119,0,,
port loko,2014-12-04,21,6379,6306,7,66,1772,944,8151,875,1,239,201,1,74,,,,,,,,8,156,20,0,,29,,0,,1,,99%,557978,7,,
