date,region,cumulative (confirmed + probable + suspects),fatality rate for confirmed and probables,new admits to cte so far,new cases of confirmed,new cases of confirmed among health workers,new cases of probables,new cases of suspects,new contacts registered so far,new deaths registered,new deaths registered among health workers,new deaths registered today,new deaths registered today (confirmed),new deaths registered today (probables),new deaths registered today (suspects),number of confirmed cases among health workers,number of contacts followed today,number of contacts followed yesterday,number of contacts lost to follow up,number of contacts out of the track 21 days,number of contacts out of track,number of contacts to follow today,number of death of confirmed cases among health workers,number of deaths of confirmed cases among health workers,number of deaths of probables cases among health workers,number of female confirmed cases,number of female probables cases,number of female suspects cases,number of male confirmed cases,number of male probables cases,number of male suspects cases,number of patients tested,number of probables cases among health workers,number of samples collected,number of samples collected today,number of samples under test,number of suspects cases among health workers,total pec center today,total pec center today (confirmed),total pec center today (probables),total pec center today (suspects),total case of confirmed among health workers,total cases of confirmed,total cases of probables,total cases of suspects,total contacts registered from start date,total deaths (confirmed + probables + suspects),total deaths of confirmed,total deaths of probables,total deaths of suspects,total deaths registered among health workers,total new cases registered so far,total number of admissions to cte,total number of exits from cte,total number of female cases,total number of hospitalized cases in cte,total number of male cases,total of cured in confirmed cases in cte,total of deaths in confirmed cases in cte,total samples tested,total suspected non-class cases
2014-09-07,beyla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-07,boffa,24,6.7e-07,,,,,,,,0,,,,,,0,,0,397,,0,,,,,,,,,,,,,,,,,,,,0,19,5,0,397,16,11,5,0,0,0,0,0,,0,,,,,19
2014-09-07,conakry,131,4.400000000000001e-07,1,,2,,,,,0,,,,,,531,,0,1809,,585,,,,,,,,,,,,,5,0,,,,,,28,113,8,10,2297,57,47,8,2,13,0,396,4,,22,,,,899,246
2014-09-07,coyah,6,3.3e-07,,,,,,,,0,,,,,,74,,0,0,,74,,,,,,,,,,,,,,,,,,,,0,5,0,1,74,2,2,0,0,0,0,0,0,,0,,,,,1
2014-09-07,dabola,4,1e-06,,,,,,,,0,,,,,,0,,0,69,,0,,,,,,,,,,,,,,,,,,,,0,1,3,0,69,4,1,3,0,0,0,0,0,,0,,,,,3
2014-09-07,dalaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-07,dinguiraye,1,1e-06,,,,,,,,0,,,,,,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,1,0,1,0,0,0,0,0,,0,,,,,0
2014-09-07,dubreka,21,1.9e-07,,,,,,,,0,,,,,,180,,0,0,,180,,,,,,,,,,,,,,,,,,,,4,21,0,0,180,4,4,0,0,0,0,0,0,,0,,,,,15
2014-09-07,forecariah,6,6.7e-07,,,,,,,,0,,,,,,72,,0,35,,123,,,,,,,,,,,,,,,,,,,,0,6,0,0,123,4,4,0,0,0,0,0,0,,0,,,,,7
2014-09-07,gueckedou,343,8.4e-07,17,,,,1,,1,0,,,,,,315,,0,3325,,318,,,,,,,,,,,,,28,0,,,,,,8,230,110,3,3643,289,179,110,0,6,1,774,4,,80,,,,1337,250
2014-09-07,kerouane,11,9e-08,,,,,,,,0,,,,,,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,0,11,0,0,0,1,1,0,0,0,0,0,0,,0,,,,,3
2014-09-07,kindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-07,kissidougou,7,8.6e-07,,,,,,,,0,,,,,,0,,0,159,,0,,,,,,,,,,,,,,,,,,,,0,2,5,0,159,6,1,5,0,0,0,0,0,,0,,,,,7
2014-09-07,kouroussa,4,1e-06,,,,,,,,0,,,,,,48,,0,46,,48,,,,,,,,,,,,,,,,,,,,0,2,2,0,94,4,2,2,0,0,0,0,0,,0,,,,,1
2014-09-07,lola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-07,macenta,237,6e-07,32,8,,,4,,3,0,,,,,,602,,0,357,,783,,,,,,,,,,,,,0,0,,,,,,8,209,12,16,1078,142,128,12,2,6,12,32,0,,0,,,,0,118
2014-09-07,nzerekore,14,4.3e-07,,,,,,5,,0,,,,,,58,,0,146,,58,,,,,,,,,,,,,,,,,,,,1,13,1,0,204,6,5,1,0,1,2,0,0,,0,,,,,7
2014-09-07,pita,8,3.8e-07,,,,,,,,0,,,,,,32,,0,108,,32,,,,,,,,,,,,,,,,,,,,0,6,1,1,140,3,2,1,0,0,0,0,0,,0,,,,,12
2014-09-07,siguiri,6,5e-07,,,,,,,,0,,,,,,0,,0,141,,0,,,,,,,,,,,,,,,,,,,,2,6,0,0,141,3,3,0,0,0,0,13,0,,0,,,,,8
2014-09-07,telimele,26,3.8e-07,,,,,,,,0,,,,,,0,,0,259,,0,,,,,,,,,,,,,,,,,,,,2,23,3,0,259,10,7,3,0,1,0,41,0,,0,,,,,18
2014-09-07,totals,861,6.500000000000001e-07,50,11,2,0,5,5,4,0,,,,,,1868,,0,6851,,2162,,,,,,,,,,,,,33,0,,,,,,54,678,151,32,8840,557,402,151,4,28,16,1256,8,,102,,,,2236,714
2014-09-07,yomou,12,4.2e-07,,,,,,,,0,,,,,,30,,0,0,,35,,,,,,,,,,,,,,,,,,,,1,11,0,1,56,5,5,0,0,1,1,0,0,,0,,,,,3
2014-09-24,beyla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-24,boffa,24,6.7e-07,,,,,,,,0,,,,,,0,,0,397,,0,,,,,,,,,,,,,,,,,,,,0,19,5,0,397,16,11,5,0,0,0,0,0,,0,,,,,20
2014-09-24,conakry,170,4.2e-07,11,10,,,2,121,,0,,,,,,695,,0,2405,,720,,,,,,,,,,,,,24,0,,,,,,38,149,8,13,3234,72,62,8,2,18,12,510,10,,32,,,,1103,299
2014-09-24,coyah,9,5.6e-07,,,,,,,,0,,,,,,98,,1,17,,98,,,,,,,,,,,,,,,,,,,,1,9,0,0,116,5,5,0,0,0,0,0,0,,0,,,,,4
2014-09-24,dabola,4,1e-06,,,,,,,,0,,,,,,0,,0,69,,0,,,,,,,,,,,,,,,,,,,,0,1,3,0,69,4,1,3,0,0,0,0,0,,0,,,,,3
2014-09-24,dalaba,3,0.0,,1,,,,,,0,,,,,,20,,0,0,,34,,,,,,,,,,,,,,,,,,,,0,3,0,0,34,0,0,0,0,0,0,0,0,,0,,,,,1
2014-09-24,dinguiraye,1,1e-06,,,,,,,,0,,,,,,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,1,0,1,0,0,0,0,0,,0,,,,,0
2014-09-24,dubreka,21,3.3e-07,,,,,,,,0,,,,,,49,,0,292,,49,,,,,,,,,,,,,,,,,,,,3,21,0,0,341,7,7,0,0,1,0,0,0,,0,,,,,19
2014-09-24,forecariah,13,5.4e-07,,,,,,,,0,,,,,,74,,0,61,,84,,,,,,,,,,,,,,,,,,,,0,11,0,2,145,7,7,0,0,0,0,0,0,,0,,,,,12
2014-09-24,gueckedou,362,8.199999999999999e-07,19,2,,,4,4,,0,,,,,,204,,0,3595,,206,,,,,,,,,,,,,21,0,,,,,,9,243,111,8,3801,296,184,111,1,6,6,914,9,,61,,,,1607,259
2014-09-24,kerouane,22,2.3e-07,,,,,,,,0,,,,,,144,,0,71,,144,,,,,,,,,,,,,,,,,,,,0,22,0,0,215,5,5,0,0,0,0,0,0,,0,,,,,9
2014-09-24,kindia,1.0,0.0,,,,,,,,0.0,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
2014-09-24,kissidougou,8,8.800000000000002e-07,,,,,,,,0,,,,,,0,,0,159,,0,,,,,,,,,,,,,,,,,,,,0,3,5,0,159,7,2,5,0,0,0,0,0,,0,,,,,7
2014-09-24,kouroussa,4,1e-06,,,,,,,,0,,,,,,0,,0,94,,0,,,,,,,,,,,,,,,,,,,,0,2,2,0,94,4,2,2,0,0,0,0,0,,0,,,,,2
2014-09-24,lola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-24,macenta,348,5.2e-07,,6,,,2,122,2,0,,,,,,555,,0,539,,831,,,,,,,,,,,,,0,0,,,,,,9,325,12,11,1370,182,168,12,2,7,8,0,0,,0,,,,0,144
2014-09-24,mzerekore,33,6.4e-07,,1,,,,50,1,0,,,,,,128,,1,185,,129,,,,,,,,,,,,,,,,,,,,2,21,11,1,314,21,10,11,0,1,1,0,0,,0,,,,,10
2014-09-24,pita,8,3.8e-07,,,,,,,,0,,,,,,0,,0,140,,0,,,,,,,,,,,,,,,,,,,,0,6,1,1,140,3,2,1,0,0,0,0,0,,0,,,,,18
2014-09-24,siguiri,6,5e-07,,,,,,,,0,,,,,,0,,0,141,,0,,,,,,,,,,,,,,,,,,,,2,6,0,0,141,3,3,0,0,0,0,13,0,,0,,,,,9
2014-09-24,telimele,26,3.8e-07,,,,,,,,0,,,,,,0,,0,259,,0,,,,,,,,,,,,,,,,,,,,2,23,3,0,259,10,7,3,0,1,0,41,0,,0,,,,,18
2014-09-24,totals,1074,6e-07,30,20,0,0,8,297,3,0,,,,,,1967,,2,8480,,2295,,,,,,,,,,,,,45,0,,,,,,67,876,162,36,10885,648,481,162,5,35,28,1478,19,,93,,,,2710,838
2014-09-24,yomou,11,4.5000000000000003e-07,,,,,,,,0,,,,,,0,,0,56,,0,,,,,,,,,,,,,,,,,,,,1,11,0,0,56,5,5,0,0,1,0,0,0,,0,,,,,4
2014-08-31,beyla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-31,boffa,25,6.4e-07,0,,0,,,0,,0,,,,,,0,,0,397,,0,,,,,,,,,,,,,,,,,,,,0,19,5,1,397,16,11,5,0,0,0,0,0,,0,,,,,19
2014-08-31,conakry,128,4.3e-07,9,1,0,,1,0,,0,,,,,,253,,0,1727,,253,,,,,,,,,,,,,17,0,,,,,,24,110,8,10,1986,55,45,8,2,11,2,356,1,,35,,,,817,228
2014-08-31,coyah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-31,dabola,4,1e-06,0,,0,,,0,,0,,,,,,0,,0,69,,0,,,,,,,,,,,,,,,,,,,,0,1,3,0,69,4,1,3,0,0,0,0,0,,0,,,,,1
2014-08-31,dalaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-31,dinguiraye,1,1e-06,0,,0,,,0,,0,,,,,,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,1,0,1,0,0,0,0,0,,0,,,,,0
2014-08-31,dubreka,21,1.4e-07,0,4,0,,,0,,0,,,,,,154,,3,0,,157,,,,,,,,,,,,,,,,,,,,4,18,0,3,157,3,3,0,0,0,4,0,0,,0,,,,,4
2014-08-31,forecariah,7,4.3e-07,0,,0,,,0,,0,,,,,,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,0,5,0,2,0,3,3,0,0,0,0,0,0,,0,,,,,7
2014-08-31,gueckedou,329,8.5e-07,17,3,0,8,2,0,,0,,,,,,221,,0,3116,,223,,,,,,,,,,,,,66,0,,,,,,8,214,110,5,3418,279,169,110,0,6,13,703,9,,64,,,,1124,244
2014-08-31,kerouane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-31,kindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-31,kissidougou,7,8.6e-07,0,,0,,,0,,0,,,,,,0,,0,159,,0,,,,,,,,,,,,,,,,,,,,0,2,5,0,159,6,1,5,0,0,0,0,0,,0,,,,,7
2014-08-31,kouroussa,4,1e-06,0,,0,,,0,,0,,,,,,48,,0,46,,48,,,,,,,,,,,,,,,,,,,,0,2,2,0,94,4,2,2,0,0,0,0,0,,0,,,,,1
2014-08-31,lola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-31,macenta,161,5.699999999999999e-07,0,20,0,,6,0,3,0,,,,,,293,,64,434,,357,,,,,,,,,,,,,0,0,,,,,,8,137,11,13,680,92,81,11,0,6,26,0,0,,0,,,,0,85
2014-08-31,nzerekore,11,5.500000000000001e-07,0,,0,,,0,,0,,,,,,77,,2,116,,79,,,,,,,,,,,,,,,,,,,,1,10,1,0,195,6,5,1,0,1,0,0,0,,0,,,,,7
2014-08-31,pita,8,5e-07,0,1,0,,,0,,0,,,,,,92,,5,40,,97,,,,,,,,,,,,,,,,,,,,0,6,1,1,137,4,3,1,0,0,1,0,0,,0,,,,,10
2014-08-31,siguiri,6,5e-07,0,,0,,,0,,0,,,,,,0,,0,141,,0,,,,,,,,,,,,,,,,,,,,2,6,0,0,141,3,3,0,0,0,0,13,0,,0,,,,,8
2014-08-31,telimele,26,3.8e-07,0,,0,,,0,,0,,,,,,0,,0,259,,0,,,,,,,,,,,,,,,,,,,,2,23,3,0,259,10,7,3,0,1,0,41,0,,0,,,,,18
2014-08-31,totals,749,6.500000000000001e-07,26,29,0,8,9,0,3,0,,,,,,1173,,76,6504,,1251,,,,,,,,,,,,,83,0,,,,,,50,563,150,36,7734,489,337,150,2,26,46,1113,10,,99,,,,1941,642
2014-08-31,yomou,11,2.7e-07,0,,0,,,0,,0,,,,,,35,,2,0,,37,,,,,,,,,,,,,,,,,,,,1,10,0,1,42,3,3,0,0,1,0,0,0,,0,,,,,3
2014-09-17,beyla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-17,boffa,24,6.7e-07,,,,,,,,0,,,,,,0,,0,397,,0,,,,,,,,,,,,,,,,,,,,0,19,5,0,397,16,11,5,0,0,0,0,0,,0,,,,,20
2014-09-17,conakry,151,4.0000000000000003e-07,3,2,,,3,48,,0,,,,,,635,,0,2007,,638,,,,,,,,,,,,,13,0,,,,,,33,129,8,14,2645,61,51,8,2,14,5,452,9,,17,,,,1017,278
2014-09-17,coyah,7,5.699999999999999e-07,,,,,,,,0,,,,,,80,,0,28,,88,,,,,,,,,,,,,,,,,,,,1,7,0,0,116,4,4,0,0,0,0,0,0,,0,,,,,3
2014-09-17,dabola,4,1e-06,,,,,,,,0,,,,,,0,,0,69,,0,,,,,,,,,,,,,,,,,,,,0,1,3,0,69,4,1,3,0,0,0,0,0,,0,,,,,3
2014-09-17,dalaba,2,0.0,,1,,,,,,0,,,,,,20,,0,0,,34,,,,,,,,,,,,,,,,,,,,0,2,0,0,34,0,0,0,0,0,1,0,0,,0,,,,,0
2014-09-17,dinguiraye,1,1e-06,,,,,,,,0,,,,,,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,1,0,1,0,0,0,0,0,,0,,,,,0
2014-09-17,dubreka,22,1.8e-07,,,,,1,,,0,,,,,,69,,0,272,,69,,,,,,,,,,,,,,,,,,,,3,21,0,1,341,4,4,0,0,0,1,0,0,,0,,,,,19
2014-09-17,forecariah,10,5e-07,,,,,,5,,0,,,,,,74,,0,61,,84,,,,,,,,,,,,,,,,,,,,0,9,0,1,145,5,5,0,0,0,0,0,0,,0,,,,,9
2014-09-17,gueckedou,350,8.4e-07,0,,,,,,,0,,,,,,244,,6,3489,,254,,,,,,,,,,,,,12,0,,,,,,9,235,110,5,3749,293,182,110,1,6,0,842,15,,49,,,,1472,255
2014-09-17,kerouane,22,1.4e-07,,,,,,,,0,,,,,,137,,0,71,,137,,,,,,,,,,,,,,,,,,,,0,22,0,0,208,3,3,0,0,0,0,0,0,,0,,,,,5
2014-09-17,kindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-17,kissidougou,8,8.800000000000002e-07,,,,,,,,0,,,,,,0,,0,159,,0,,,,,,,,,,,,,,,,,,,,0,3,5,0,159,7,2,5,0,0,0,0,0,,0,,,,,7
2014-09-17,kouroussa,4,1e-06,,,,,,,,0,,,,,,0,,0,94,,0,,,,,,,,,,,,,,,,,,,,0,2,2,0,94,4,2,2,0,0,0,0,0,,0,,,,,1
2014-09-17,lola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-17,macenta,279,5.9e-07,,3,,,,,3,0,,,,,,960,,0,295,,970,,,,,,,,,,,,,0,0,,,,,,9,258,12,9,1265,165,151,12,2,7,3,0,0,,0,,,,0,130
2014-09-17,mzerekore,28,7.099999999999999e-07,,,,,,,,0,,,,,,98,,1,164,,99,,,,,,,,,,,,,,,,,,,,1,17,11,0,264,20,9,11,0,1,0,0,0,,0,,,,,9
2014-09-17,pita,9,3.3e-07,,,,,,,,0,,,,,,25,,0,115,,25,,,,,,,,,,,,,,,,,,,,0,6,1,2,140,3,2,1,0,0,0,0,0,,0,,,,,17
2014-09-17,siguiri,6,5e-07,,,,,,,,0,,,,,,0,,0,141,,0,,,,,,,,,,,,,,,,,,,,2,6,0,0,141,3,3,0,0,0,0,13,0,,0,,,,,9
2014-09-17,telimele,26,3.8e-07,,,,,,,,0,,,,,,0,,0,259,,0,,,,,,,,,,,,,,,,,,,,2,23,3,0,259,10,7,3,0,1,0,41,0,,0,,,,,18
2014-09-17,totals,964,6.3e-07,3,6,0,0,4,53,3,0,,,,,,2372,,7,7642,,2433,,,,,,,,,,,,,25,0,,,,,,61,771,161,32,10082,608,442,161,5,30,10,1348,24,,66,,,,2489,787
2014-09-17,yomou,11,4.5000000000000003e-07,,,,,,,,0,,,,,,30,,0,21,,35,,,,,,,,,,,,,,,,,,,,1,11,0,0,56,5,5,0,0,1,0,0,0,,0,,,,,4
2014-09-14,beyla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-14,boffa,24,6.7e-07,,,,,,,,0,,,,,,0,,0,397,,0,,,,,,,,,,,,,,,,,,,,0,19,5,0,397,16,11,5,0,0,0,0,0,,0,,,,,20
2014-09-14,conakry,138,4.3e-07,1,,,,,,,0,,,,,,597,,6,1870,,613,,,,,,,,,,,,,11,0,,,,,,33,120,8,10,2489,59,49,8,2,14,0,429,5,,15,,,,973,278
2014-09-14,coyah,8,5e-07,,,,,,1,,0,,,,,,98,,1,17,,98,,,,,,,,,,,,,,,,,,,,1,7,0,1,116,4,4,0,0,0,0,0,0,,0,,,,,3
2014-09-14,dabola,4,1e-06,,,,,,,,0,,,,,,0,,0,69,,0,,,,,,,,,,,,,,,,,,,,0,1,3,0,69,4,1,3,0,0,0,0,0,,0,,,,,3
2014-09-14,dalaba,2,0.0,,,,,,,,0,,,,,,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,0,0,0,0,0,0,,0,,,,,0
2014-09-14,dinguiraye,1,1e-06,,,,,,,,0,,,,,,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,1,0,1,0,0,0,0,0,,0,,,,,0
2014-09-14,dubreka,21,1.9e-07,,,,,,,,0,,,,,,172,,0,8,,172,,,,,,,,,,,,,,,,,,,,3,21,0,0,180,4,4,0,0,0,0,0,0,,0,,,,,19
2014-09-14,forecariah,9,5.6e-07,,,,,,1,,0,,,,,,103,,1,18,,104,,,,,,,,,,,,,,,,,,,,0,8,0,1,123,5,5,0,0,0,0,0,0,,0,,,,,9
2014-09-14,gueckedou,350,8.3e-07,5,1,,,,5,,0,,,,,,308,,2,3420,,316,,,,,,,,,,,,,37,0,,,,,,9,235,110,5,3738,292,182,110,0,6,1,811,5,,69,,,,1400,255
2014-09-14,kerouane,19,1.1000000000000002e-07,,,,,,,,0,,,,,,137,,0,71,,137,,,,,,,,,,,,,,,,,,,,0,19,0,0,208,2,2,0,0,0,0,0,0,,0,,,,,5
2014-09-14,kindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-14,kissidougou,8,7.499999999999999e-07,,,,,,,,0,,,,,,0,,0,159,,0,,,,,,,,,,,,,,,,,,,,0,2,5,1,159,6,1,5,0,0,0,0,0,,0,,,,,7
2014-09-14,kouroussa,4,1e-06,,,,,,,,0,,,,,,48,,0,46,,48,,,,,,,,,,,,,,,,,,,,0,2,2,0,94,4,2,2,0,0,0,0,0,,0,,,,,1
2014-09-14,lola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-14,macenta,267,5.8e-07,,10,,,,,1,0,,,,,,555,,0,295,,831,,,,,,,,,,,,,0,0,,,,,,9,245,12,10,1126,156,142,12,2,7,10,0,0,,0,,,,0,130
2014-09-14,mzerekore,29,7.2e-07,,3,,11,,20,,0,,,,,,72,,0,165,,93,,,,,,,,,,,,,,,,,,,,1,17,12,0,258,21,9,12,0,1,14,0,0,,0,,,,,9
2014-09-14,pita,9,3.3e-07,,,,,,,,0,,,,,,25,,0,115,,25,,,,,,,,,,,,,,,,,,,,0,6,1,2,140,3,2,1,0,0,0,0,0,,0,,,,,17
2014-09-14,siguiri,6,5e-07,,,,,,,,0,,,,,,0,,0,141,,0,,,,,,,,,,,,,,,,,,,,2,6,0,0,141,3,3,0,0,0,0,13,0,,0,,,,,9
2014-09-14,telimele,26,3.8e-07,,,,,,,,0,,,,,,0,,0,259,,0,,,,,,,,,,,,,,,,,,,,2,23,3,0,259,10,7,3,0,1,0,41,0,,0,,,,,18
2014-09-14,totals,936,6.4e-07,6,14,0,11,0,27,1,0,,,,,,2145,,15,7066,,2472,,,,,,,,,,,,,48,0,,,,,,61,743,162,31,9553,595,429,162,4,30,25,1294,10,,84,,,,2373,787
2014-09-14,yomou,11,4.5000000000000003e-07,,,,,,,,0,,,,,,30,,5,16,,35,,,,,,,,,,,,,,,,,,,,1,11,0,0,56,5,5,0,0,1,0,0,0,,0,,,,,4
2014-09-21,beyla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-21,boffa,24,6.7e-07,,,,,,,,0,,,,,,0,,0,397,,0,,,,,,,,,,,,,,,,,,,,0,19,5,0,397,16,11,5,0,0,0,0,0,,0,,,,,20
2014-09-21,conakry,151,4.5000000000000003e-07,4,,,,,,,0,,,,,,677,,0,2172,,796,,,,,,,,,,,,,8,0,,,,,,38,133,8,10,2968,68,58,8,2,18,0,482,5,,21,,,,1053,299
2014-09-21,coyah,7,7.099999999999999e-07,,,,,,,,0,,,,,,98,,1,17,,98,,,,,,,,,,,,,,,,,,,,1,7,0,0,116,5,5,0,0,0,0,0,0,,0,,,,,4
2014-09-21,dabola,4,1e-06,,,,,,,,0,,,,,,0,,0,69,,0,,,,,,,,,,,,,,,,,,,,0,1,3,0,69,4,1,3,0,0,0,0,0,,0,,,,,3
2014-09-21,dalaba,2,0.0,,,,,,,,0,,,,,,20,,0,0,,34,,,,,,,,,,,,,,,,,,,,0,2,0,0,34,0,0,0,0,0,0,0,0,,0,,,,,1
2014-09-21,dinguiraye,1,1e-06,,,,,,,,0,,,,,,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,1,0,1,0,0,0,0,0,,0,,,,,0
2014-09-21,dubreka,21,3.3e-07,,,,,,,,0,,,,,,49,,0,292,,49,,,,,,,,,,,,,,,,,,,,3,21,0,0,341,7,7,0,0,1,0,0,0,,0,,,,,19
2014-09-21,forecariah,10,7e-07,,,,,,,,0,,,,,,74,,0,61,,84,,,,,,,,,,,,,,,,,,,,0,9,0,1,145,7,7,0,0,0,0,0,0,,0,,,,,12
2014-09-21,gueckedou,354,8.3e-07,8,,,,1,14,,0,,,,,,194,,0,3564,,200,,,,,,,,,,,,,20,0,,,,,,9,237,111,6,3764,295,183,111,1,6,1,869,4,,48,,,,1543,259
2014-09-21,kerouane,22,2.3e-07,,,,,,,,0,,,,,,144,,0,71,,144,,,,,,,,,,,,,,,,,,,,0,22,0,0,215,5,5,0,0,0,0,0,0,,0,,,,,9
2014-09-21,kindia,1.0,0.0,,1.0,,,,,,0.0,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,
2014-09-21,kissidougou,8,8.800000000000002e-07,,,,,,,,0,,,,,,0,,0,159,,0,,,,,,,,,,,,,,,,,,,,0,3,5,0,159,7,2,5,0,0,0,0,0,,0,,,,,7
2014-09-21,kouroussa,4,1e-06,,,,,,,,0,,,,,,0,,0,94,,0,,,,,,,,,,,,,,,,,,,,0,2,2,0,94,4,2,2,0,0,0,0,0,,0,,,,,2
2014-09-21,lola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
