date,region,cfr,contacts_followed,contacts_healthy,contacts_ill,contacts_not_seen,cum_completed_contacts,cum_confirmed,cum_contacts,cum_noncase,cum_probable,cum_suspected,death_confirmed,death_probable,death_suspected,etc_cum_admission,etc_cum_deaths,etc_cum_discharges,etc_currently_admitted,etc_new_admission,etc_new_deaths,etc_new_discharges,negative_corpse,new_completed_contacts,new_confirmed,new_contacts,new_negative,new_noncase,new_positive,new_probable,new_samples,new_suspected,pending,percent_seen,population,positive_corpse,repeat_samples,total_lab_samples,$deaths,$new_cases
2014-10-03,bo,18,226,223,3,0,661,96,887,102,1,23,17,0,0,,,,,,,,,0,0,41,,3,,0,,0,,1.0,654142,,,,17.0,0.0
2014-10-03,bombali,8,866,871,11,2,361,241,1245,113,1,20,18,0,0,,,,,,,,,0,14,49,,4,,0,,8,,0.98,494139,,,,18.0,14.0
2014-10-03,bonthe,100,15,15,0,0,90,1,105,1,0,2,1,0,0,,,,,,,,,0,0,0,,0,,0,,0,,1.0,168729,,,,1.0,0.0
2014-10-03,kailahun,41,556,555,1,0,1220,530,1776,281,32,18,216,35,4,,,,,,,,,0,0,45,,0,,0,,0,,1.0,465048,,,,216.0,0.0
2014-10-03,kambia,5,311,311,0,0,50,21,361,6,0,3,1,0,0,,,,,,,,,0,0,22,,0,,0,,1,,1.0,341690,,,,1.0,0.0
2014-10-03,kenema,54,276,273,0,3,2549,431,2818,615,0,43,232,0,4,,,,,,,,,33,0,0,,2,,0,,1,,0.99,653013,,,,232.0,0.0
2014-10-03,koinadugu,0.0,,,,,,0.0,,30.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,1.0,,0.0,,0.0,,,335471.0,,,,0.0,0.0
2014-10-03,kono,0,286,266,20,0,140,23,427,45,1,43,2,0,1,,,,,,,,,0,0,0,,0,,0,,0,,0.98,325003,,,,2.0,0.0
2014-10-03,moyamba,13,242,240,2,0,246,60,488,47,0,18,8,0,0,,,,,,,,,0,0,45,,2,,0,,0,,1.0,278119,,,,8.0,0.0
2014-10-03,port loko,6,8317,2273,2,18,534,309,2851,128,1,18,18,1,1,,,,,,,,,0,4,60,,1,,0,,0,,0.98,557978,,,,18.0,4.0
2014-10-03,pujehun,24,253,253,0,0,284,21,537,5,0,2,5,0,0,,,,,,,,,0,0,0,,0,,0,,0,,1.0,335574,,,,5.0,0.0
2014-10-03,tonkolili,8,1113,1113,0,0,352,86,1465,47,0,13,7,0,0,,,,,,,,,0,0,0,,0,,0,,0,,1.0,434937,,,,7.0,0.0
2014-10-03,western area rural,2,676,169,4,503,328,187,1004,162,0,20,4,0,0,,,,,,,,,13,6,195,,8,,0,,2,,0.98,,,,,4.0,6.0
2014-10-03,western area urban,3,714,512,0,202,754,270,1468,365,1,36,9,1,1,,,,,,,,,15,11,54,,8,,0,,1,,0.98,,,,,9.0,11.0
2014-11-16,bo,,,,,,,222.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,654142.0,,,,,2.0
2014-11-16,bombali,,,,,,,709.0,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,494139.0,,,,,12.0
2014-11-16,bonthe,,,,,,,3.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,168729.0,,,,,0.0
2014-11-16,kailahun,,,,,,,559.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,465048.0,,,,,1.0
2014-11-16,kambia,,,,,,,57.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,341690.0,,,,,1.0
2014-11-16,kenema,,,,,,,493.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,653013.0,,,,,0.0
2014-11-16,koinadugu,,,,,,,73.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,335471.0,,,,,0.0
2014-11-16,kono,,,,,,,57.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,325003.0,,,,,0.0
2014-11-16,moyamba,,,,,,,147.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,278119.0,,,,,3.0
2014-11-16,port loko,,,,,,,720.0,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,557978.0,,,,,9.0
2014-11-16,pujehun,,,,,,,28.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,335574.0,,,,,0.0
2014-11-16,tonkolili,,,,,,,302.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,434937.0,,,,,2.0
2014-11-16,western area rural,,,,,,,711.0,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,263619.0,,,,,24.0
2014-11-16,western area urban,,,,,,,975.0,,,,,,,,,,,,,,,,,35.0,,,,,,,,,,1040888.0,,,,,35.0
2014-10-30,bo,33.7,339,339,0,0,710,175,1079,200,1,68,59,43,8,141,35,61,25,5,2,4,7,0,3,41,,10,,0,,1,,1.0,654142,2,,,59.0,3.0
2014-10-30,bombali,25.5,944,932,8,4,1681,556,2625,331,6,76,142,19,22,,,,,,,,4,0,8,0,,9,,0,,1,,0.98,494139,0,,,142.0,8.0
2014-10-30,bonthe,50.0,20,20,0,0,105,2,125,2,0,3,1,1,1,,,,,,,,0,0,0,0,,0,,0,,0,,1.0,168729,0,,,1.0,0.0
2014-10-30,kailahun,41.0,583,583,0,0,1835,551,2418,307,32,18,226,35,4,924,247,224,44,11,1,2,0,0,0,80,,0,,0,,0,,1.0,465048,0,,,226.0,0.0
2014-10-30,kambia,23.7,180,180,0,0,385,38,565,22,0,4,9,9,6,,,,,,,,0,0,0,40,,0,,0,,0,,1.0,341690,0,,,9.0,0.0
2014-10-30,kenema,51.9,325,319,6,0,2676,491,3144,815,0,88,255,0,4,,,,,,,,8,0,3,19,,11,,0,,3,,0.99,653013,0,,,255.0,3.0
2014-10-30,koinadugu,46.7,55,55,0,2,0,15,58,42,32,9,7,32,0,,,,,,,,0,0,0,0,,0,,0,,0,,0.99,335471,0,,,7.0,0.0
2014-10-30,kono,47.4,306,301,0,5,308,38,614,85,1,58,18,19,2,,,,,,,,0,0,0,0,,0,,0,,0,,0.98,325003,0,,,18.0,0.0
2014-10-30,moyamba,34.4,229,229,0,0,798,96,1027,83,1,30,33,20,9,,,,,,,,1,0,0,0,,2,,0,,0,,1.0,278119,0,,,33.0,0.0
2014-10-30,port loko,14.4,5122,5067,17,38,860,535,5982,246,1,48,77,1,74,,,,,,,,0,25,2,149,,0,,0,,0,,0.98,557978,0,,,77.0,2.0
2014-10-30,pujehun,57.1,157,157,0,0,939,28,1103,12,0,10,16,2,3,,,,,,,,1,0,0,126,,1,,0,,0,,1.0,335574,0,,,16.0,0.0
2014-10-30,tonkolili,22.6,1704,1704,0,0,1007,208,2711,92,4,38,47,21,4,,,,,,,,2,0,9,22,,7,,0,,0,,1.0,434937,2,,,47.0,9.0
2014-10-30,western area rural,16.6,1228,490,9,738,1738,493,2966,412,0,41,82,2,12,,,,,,,,5,334,12,85,,6,,0,,3,,0.98,263619,4,,,82.0,12.0
2014-10-30,western area urban,15.0,1568,1511,3,57,2009,615,3577,835,1,76,92,4,8,,,,,,,,2,306,13,44,,10,,0,,1,,0.98,1040888,2,,,92.0,13.0
2014-10-12,bo,42,306,298,0,8,661,125,967,123,1,34,53,43,2,,,,,,,,,0,0,80,,0,,0,,0,,1.0,654142,,,,53.0,0.0
2014-10-12,bombali,31,1608,1599,6,3,457,388,2065,206,1,57,120,7,13,,,,,,,,,0,19,41,,19,,0,,3,,0.98,494139,,,,120.0,19.0
2014-10-12,bonthe,100,15,15,0,0,90,1,105,1,0,2,1,1,1,,,,,,,,,0,0,0,,0,,0,,0,,1.0,168729,,,,1.0,0.0
2014-10-12,kailahun,41,452,449,3,0,1578,535,2030,284,32,18,219,35,4,814,238,172,53,4,0,1,,0,2,6,,1,,0,,0,,1.0,465048,,,,219.0,2.0
2014-10-12,kambia,36,326,325,1,0,86,25,412,10,0,3,9,9,6,,,,,,,,,0,1,0,,0,,0,,0,,1.0,341690,,,,9.0,1.0
2014-10-12,kenema,53,235,234,1,0,2632,447,2902,685,0,48,238,0,4,504,254,307,0,0,0,0,,12,10,10,,9,,0,,4,,0.99,653013,,,,238.0,10.0
2014-10-12,koinadugu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,,1.0,,0.0,,0.0,,0.0,335471.0,,,,0.0,0.0
2014-10-12,kono,58,330,325,5,0,191,31,523,67,1,52,18,19,2,,,,,,,,,0,0,54,,0,,0,,0,,0.98,325003,,,,18.0,0.0
2014-10-12,moyamba,35,301,301,0,0,464,77,765,57,0,22,27,19,5,,,,,,,,,0,2,114,,1,,0,,0,,1.0,278119,,,,27.0,2.0
2014-10-12,port loko,14,2747,2747,0,0,562,405,3309,147,1,21,57,1,49,,,,,,,,,0,7,0,,1,,0,,0,,1.0,557978,,,,57.0,7.0
2014-10-12,pujehun,50,380,380,0,0,469,24,949,6,0,3,12,2,3,,,,,,,,,135,0,270,,0,,0,,0,,1.0,335574,,,,12.0,0.0
2014-10-12,tonkolili,27,1349,1349,0,0,591,127,1940,60,0,23,34,17,3,,,,,,,,,27,0,59,,0,,0,,0,,1.0,434937,,,,34.0,0.0
2014-10-12,western area,43.0,,,,,,664.0,,799.0,1.0,83.0,138.0,4.0,8.0,,,,,,,,,,16.0,,,28.0,,0.0,,1.0,,,1304507.0,,,,138.0,16.0
2014-10-12,western area rural,,578,499,1,79,710,,1288,,,,,,,,,,,,,,,0,,2,,,,,,,,0.98,,,,,,
2014-10-12,western area urban,,948,859,0,89,985,,1933,,,,,,,,,,,,,,,18,,28,,,,,,,,0.98,,,,,,
2014-11-10,bo,32.1,192,191,1,0,920,193,1147,296,1,79,62,43,8,,,,,,,,11,0,4,0,,11,,0,,1,,1.0,654142,1,,,62.0,4.0
2014-11-10,bombali,23.5,1759,1745,4,10,1681,659,3340,433,6,87,155,19,22,,,,,,,,1,0,2,0,,1,,0,,0,,0.98,494139,2,,,155.0,2.0
2014-11-10,bonthe,50.0,0,0,0,0,125,2,125,4,0,3,1,1,1,,,,,,,,0,0,0,0,,0,,0,,0,,1.0,168729,0,,,1.0,0.0
2014-11-10,kailahun,40.9,526,526,0,0,2243,558,2769,315,32,18,228,35,4,,,,,,,,0,0,0,1,,0,,0,,0,,1.0,465048,0,,,228.0,0.0
2014-11-10,kambia,26.4,379,379,0,0,272,53,651,37,0,11,14,9,6,,,,,,,,0,0,1,0,,1,,0,,0,,1.0,341690,0,,,14.0,1.0
2014-11-10,kenema,52.1,201,201,0,0,2838,493,3170,922,0,98,257,0,4,,,,,,,,10,0,0,0,,10,,0,,0,,0.99,653013,0,,,257.0,0.0
2014-11-10,koinadugu,30.9,247,247,0,0,8,55,255,51,32,14,17,32,0,,,,,,,,0,0,7,147,,1,,0,,0,,0.99,335471,3,,,17.0,7.0
2014-11-10,kono,42.2,381,369,12,0,390,45,771,97,1,61,19,19,2,,,,,,,,0,0,0,36,,0,,0,,0,,0.98,325003,0,,,19.0,0.0
2014-11-10,moyamba,25.5,412,409,3,0,960,137,1372,110,1,35,35,20,9,,,,,,,,0,34,0,80,,0,,0,,0,,1.0,278119,0,,,35.0,0.0
2014-11-10,port loko,14.3,6303,6245,7,51,948,644,7251,402,1,122,92,1,74,,,,,,,,7,0,19,54,,11,,0,,9,,0.98,557978,5,,,92.0,19.0
2014-11-10,pujehun,57.1,105,105,0,0,991,28,1103,16,0,10,16,2,3,,,,,,,,3,30,0,0,,3,,0,,0,,1.0,335574,0,,,16.0,0.0
2014-11-10,tonkolili,20.3,1670,1670,0,0,1199,281,2869,144,4,46,57,21,4,,,,,,,,4,22,8,0,,5,,0,,1,,1.0,434937,1,,,57.0,8.0
2014-11-10,western area rural,14.6,1673,1603,4,0,2201,631,4085,547,0,67,92,2,12,,,,,,,,19,0,22,66,,22,,0,,3,,0.98,263619,9,,,92.0,22.0
2014-11-10,western area urban,12.4,1863,1700,0,0,3830,838,6297,1083,1,147,104,4,8,,,,,,,,36,22,31,123,,48,,0,,18,,0.98,1040888,16,,,104.0,31.0
2014-10-18,bo,40,238,235,0,3,661,143,921,141,1,49,57,43,3,72,24,30,18,0,3,1,,0,2,0,,6,,0,,1,,1.0,654142,,,,57.0,2.0
2014-10-18,bombali,29,1669,1658,4,7,509,441,2178,237,1,73,127,14,18,,,,,,,,,21,6,16,,5,,0,,5,,0.98,494139,,,,127.0,6.0
2014-10-18,bonthe,50,15,15,0,0,90,2,105,2,0,3,1,1,1,,,,,,,,,0,0,0,,0,,0,,0,,1.0,168729,,,,1.0,0.0
