Cantons,Taux de chômage,Coefficients de variation,Chômeurs inscrits,Chômeurs jeunes,Chômeurs de longue durée,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs
Zurich,3.3,A,27225,3420,4753,34156,6931
Berne,2.4,A,13658,2003,2336,18385,4727
Lucerne,1.7,A,3885,664,453,6756,2871
Uri,0.6,C,112,15,13,257,145
Schwyz,1.7,A,1455,185,189,2229,774
Obwald,0.7,B,153,21,10,319,166
Nidwald,1,B,248,31,24,436,188
Glaris,1.8,B,416,60,78,713,297
Zoug,2.3,B,1543,133,248,2615,1072
Fribourg,2.7,A,4466,683,486,7837,3371
Soleure,2.6,A,3801,584,568,6628,2827
Bâle-Ville,3.5,A,3455,408,606,5168,1713
Bâle-Campagne,2.8,A,4082,524,651,5540,1458
Schaffhouse,3,B,1286,226,268,2328,1042
Appenzell Rhodes-Extérieures,1.7,B,523,65,95,866,343
Appenzell Rhodes-Intérieures,0.7,C,62,16,9,102,40
St-Gall,2.2,A,6127,1046,866,10363,4236
Grisons,1.1,A,1166,194,64,2590,1424
Argovie,2.9,A,10684,1555,1698,15145,4461
Thurgovie,2,A,3058,517,416,5618,2560
Tessin,3.1,A,5202,803,797,8675,3473
Vaud,4.3,A,17155,1904,3015,24649,7494
Valais,2.8,A,4816,746,588,8027,3211
Neuchâtel,5.1,A,4738,726,1210,6350,1612
Genève,5.2,A,12234,914,2326,15497,3263
Jura,4.4,B,1619,266,446,2375,756
Total,3,A,133169,17709,22213,193624,60455
