date,region,cumulative (confirmed + probable + suspects),fatality rate for confirmed and probables,new admits to cte so far,new cases of confirmed,new cases of confirmed among health workers,new cases of probables,new cases of suspects,new contacts registered so far,new deaths registered,new deaths registered among health workers,new deaths registered today,new deaths registered today (confirmed),new deaths registered today (probables),new deaths registered today (suspects),number of confirmed cases among health workers,number of contacts followed today,number of contacts followed yesterday,number of contacts lost to follow up,number of contacts out of the track 21 days,number of contacts out of track,number of contacts to follow today,number of death of confirmed cases among health workers,number of deaths of confirmed cases among health workers,number of deaths of probables cases among health workers,number of female confirmed cases,number of female probables cases,number of female suspects cases,number of male confirmed cases,number of male probables cases,number of male suspects cases,number of patients tested,number of probables cases among health workers,number of samples collected,number of samples collected today,number of samples under test,number of suspects cases among health workers,total pec center today,total pec center today (confirmed),total pec center today (probables),total pec center today (suspects),total case of confirmed among health workers,total cases of confirmed,total cases of probables,total cases of suspects,total contacts registered from start date,total deaths (confirmed + probables + suspects),total deaths of confirmed,total deaths of probables,total deaths of suspects,total deaths registered among health workers,total new cases registered so far,total number of admissions to cte,total number of exits from cte,total number of female cases,total number of hospitalized cases in cte,total number of male cases,total of cured in confirmed cases in cte,total of deaths in confirmed cases in cte,total samples tested,total suspected non-class cases,$deaths,$new_cases
2014-08-04,boffa,23.0,,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,397.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,10.0,3.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,18.0,5.0,0.0,397.0,16.0,11.0,5.0,0.0,,0.0,,,10.0,,13.0,7.0,6.0,,,11.0,18.0
2014-08-04,conakry,95.0,,,1.0,,0.0,5.0,,,,0.0,0.0,0.0,0.0,16.0,,331.0,,,1242.0,350.0,0.0,10.0,1.0,30.0,4.0,4.0,48.0,4.0,5.0,,1.0,,,,0.0,21.0,10.0,0.0,11.0,,78.0,8.0,9.0,1592.0,42.0,32.0,8.0,2.0,,6.0,,,38.0,,57.0,34.0,20.0,,,32.0,78.0
2014-08-04,dabola,4.0,,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,69.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,1.0,3.0,0.0,69.0,4.0,1.0,3.0,0.0,,0.0,,,2.0,,2.0,0.0,0.0,,,1.0,1.0
2014-08-04,dinguiraye,1.0,,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,0.0,,,1.0,,0.0,0.0,0.0,,,0.0,0.0
2014-08-04,dubreka,0.0,,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,118.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,,0.0,0.0
2014-08-04,gueckedou,285.0,,,3.0,,0.0,0.0,,,,2.0,2.0,0.0,0.0,3.0,,200.0,,,2848.0,201.0,0.0,1.0,4.0,116.0,61.0,2.0,72.0,34.0,0.0,,4.0,,,,0.0,8.0,6.0,0.0,2.0,,188.0,95.0,2.0,3049.0,247.0,152.0,95.0,0.0,,3.0,,,179.0,,106.0,30.0,95.0,,,152.0,188.0
2014-08-04,kissidougou,6.0,,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,159.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,2.0,4.0,0.0,158.0,5.0,1.0,4.0,0.0,,0.0,,,4.0,,2.0,1.0,1.0,,,1.0,2.0
2014-08-04,kouroussa,4.0,,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,37.0,,,16.0,37.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,0.0,53.0,3.0,1.0,2.0,0.0,,0.0,,,1.0,,3.0,0.0,0.0,,,1.0,2.0
2014-08-04,macenta,39.0,,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,,44.0,,,384.0,46.0,0.0,1.0,2.0,14.0,6.0,0.0,14.0,5.0,0.0,,2.0,,,,0.0,0.0,0.0,0.0,0.0,,28.0,11.0,0.0,430.0,29.0,18.0,11.0,0.0,,0.0,,,20.0,,19.0,8.0,10.0,,,18.0,28.0
2014-08-04,nzerekore,4.0,,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,69.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,4.0,0.0,0.0,69.0,1.0,1.0,0.0,0.0,,0.0,,,2.0,,2.0,0.0,0.0,,,1.0,4.0
2014-08-04,pita,2.0,,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,26.0,,,15.0,26.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,41.0,2.0,1.0,1.0,0.0,,0.0,,,1.0,,1.0,0.0,0.0,,,1.0,1.0
2014-08-04,siguiri,6.0,,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,2.0,,134.0,,,6.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,,0.0,,,,2.0,2.0,2.0,0.0,0.0,,6.0,0.0,0.0,141.0,3.0,3.0,0.0,0.0,,0.0,,,0.0,,8.0,0.0,2.0,,,3.0,6.0
